date,close,high,low,next_three_day_high,next_three_day_low,next_three_day_return
2008-12-30,1833.43,1867.41,1824.53,1948.49,1813.73,0.06275669101083758
2008-12-31,1817.72,1844.42,1813.73,1959.25,1837.84,0.07786127676429812
2009-01-05,1882.96,1882.96,1837.84,1959.25,1873.01,0.040515996091260546
2009-01-06,1942.8,1948.49,1873.01,1959.25,1873.65,-0.035592958616429825
2009-01-07,1931.18,1959.25,1930.87,1947.08,1873.65,-0.029790076533518353
2009-01-08,1887.99,1902.8,1873.65,1947.08,1874.97,0.03129783526395792
2009-01-09,1918.37,1923.42,1886.49,1955.24,1873.63,-0.02332188263994943
2009-01-12,1920.69,1947.08,1905.62,1977.19,1873.63,0.029416511774414403
2009-01-13,1876.18,1908.2,1874.97,2026.65,1873.63,0.08020019401123561
2009-01-14,1955.24,1955.24,1873.63,2052.19,1930.3,0.04958470571387658
2009-01-15,1954.87,1977.19,1930.3,2052.19,1965.44,0.04978336155345377
2009-01-16,1990.21,2026.65,1965.44,2052.19,1986.06,0.03114244225483744
2009-01-19,2012.46,2052.19,1993.95,2048.48,1986.06,0.017898492392395368
2009-01-20,2025.19,2025.19,1986.06,2054.33,1988.24,-0.018245201684780214
2009-01-21,2021.71,2047.11,1988.24,2059.34,2012.74,0.018612956358726084
2009-01-22,2044.55,2048.48,2012.74,2108.94,2025.19,0.03149348267344897
2009-01-23,2032.68,2054.33,2025.19,2166.41,2029.72,0.06578999153826465
2009-02-02,2057.06,2059.34,2029.72,2211.18,2049.89,0.07492246215472563
2009-02-03,2108.91,2108.94,2049.89,2240.02,2117.02,0.0621695567852588
2009-02-04,2166.41,2166.41,2117.02,2307.91,2135.67,0.06531542967397677
2009-02-05,2150.97,2211.18,2135.67,2327.1,2158.08,0.0818839872243686
2009-02-06,2237.28,2240.02,2158.08,2381.19,2257.49,0.06432364299506536
2009-02-09,2296.67,2307.91,2257.49,2381.19,2248.48,0.036801107690700004
2009-02-10,2326.76,2327.1,2263.53,2402.44,2248.48,-0.03364334955044791
2009-02-11,2331.14,2381.19,2275.57,2462.39,2248.48,0.056302924749264315
2009-02-12,2318.34,2344.66,2248.48,2470.62,2307.09,0.06568492973420625
2009-02-13,2399.07,2402.44,2307.09,2470.62,2272.51,-0.05275377542130907
2009-02-16,2462.24,2462.39,2397.18,2470.62,2259.59,-0.08230310611475715
2009-02-17,2385.29,2470.62,2384.79,2369.05,2259.59,-0.05269799479308588
2009-02-18,2275.84,2369.05,2272.51,2419.53,2259.59,0.06313712739032623
2009-02-19,2298.41,2324.68,2259.59,2419.53,2276.3,0.05269729943743734
2009-02-20,2344.32,2344.77,2276.3,2419.53,2226.44,-0.05028323778323782
2009-02-23,2410.48,2419.53,2307.92,2411.91,2167.15,-0.10094669941256511
2009-02-24,2301.85,2411.91,2294.52,2337.42,2117.06,-0.08027890609726958
2009-02-25,2304.25,2337.42,2226.44,2332.35,2112.34,-0.08328523380709552
2009-02-26,2190.18,2332.35,2167.15,2186.82,2100.64,-0.04088248454464929
2009-02-27,2140.49,2186.82,2117.06,2290.94,2100.64,0.07028764441786707
2009-03-02,2164.67,2177.29,2112.34,2340.37,2100.64,0.08116710630257722
2009-03-03,2142.15,2168.22,2100.64,2340.37,2150.24,0.09253320262353233
2009-03-04,2285.15,2290.94,2150.24,2340.37,2198.55,-0.03789685578627219
2009-03-05,2304.92,2340.37,2259.8,2333.98,2168.32,-0.05926452978845249
2009-03-06,2286.58,2313.2,2255.82,2333.98,2168.32,-0.05171916136763191
2009-03-09,2202.53,2333.98,2198.55,2292.4,2156.6,0.040803076462068565
2009-03-10,2240.78,2241.24,2168.32,2292.4,2156.6,-0.03756727568078985
2009-03-11,2220.38,2292.4,2212.88,2250.24,2156.6,-0.02872481286986921
2009-03-12,2215.7,2220.3,2156.6,2329.3,2180.05,0.051270478855440886
2009-03-13,2205.42,2250.24,2200.97,2370.56,2180.05,0.07487916133888324
2009-03-16,2241.61,2247.11,2180.05,2386.23,2239.67,0.06451612903225801
2009-03-17,2322.4,2329.3,2239.67,2397.21,2328.86,0.03221236651739577
2009-03-18,2332.65,2370.56,2328.86,2448.35,2331.26,0.04960024007030622
2009-03-19,2382.56,2386.23,2331.26,2483.83,2343.27,0.04250470082600228
2009-03-20,2379.84,2397.21,2343.27,2483.83,2375.52,0.04369621487158791
2009-03-23,2439.39,2448.35,2375.52,2483.83,2379.95,-0.024366747424561082
2009-03-24,2451.78,2483.83,2440.53,2516.38,2379.95,-0.029297082119929346
2009-03-25,2401.33,2472.94,2401.05,2516.38,2379.95,0.04791094934890256
2009-03-26,2479.79,2479.83,2379.95,2516.38,2423.57,-0.022671274583734833
2009-03-27,2498.93,2516.38,2481.69,2566.54,2423.57,-0.030156907156262753
2009-03-30,2484.49,2508.14,2471.37,2599.25,2423.57,0.04619056627315877
2009-03-31,2507.79,2507.9,2423.57,2612.37,2519.89,0.041702056392281625
2009-04-01,2548.22,2566.54,2519.89,2612.37,2543.65,0.025174435488301675
2009-04-02,2576.4,2599.25,2558.26,2612.37,2479.35,-0.037668840242198486
2009-04-03,2570.5,2612.37,2555.61,2597.06,2457.42,-0.043991441353822186
2009-04-07,2576.95,2597.06,2543.65,2595.6,2457.42,-0.046384291507402066
2009-04-08,2479.35,2573.09,2479.35,2668.28,2457.42,0.07620142376025986
2009-04-09,2517.67,2517.74,2457.42,2682.91,2530.62,0.06563211223075295
2009-04-10,2595.53,2595.6,2530.62,2690.64,2619.37,0.03664376832477362
2009-04-13,2656.52,2668.28,2619.37,2706.63,2627.81,0.01886302380558028
2009-04-14,2676.87,2682.91,2637.38,2706.63,2627.81,-0.01832737488185827
2009-04-15,2686.99,2690.64,2627.81,2708.45,2628.63,-0.02171947048556179
2009-04-16,2687.11,2706.63,2643.32,2708.45,2628.63,-0.02176315818853713
2009-04-17,2650.69,2693.29,2628.63,2713.3,2563.36,-0.032946138552603255
2009-04-20,2707.67,2708.45,2640.99,2713.3,2543.91,-0.06048004372763306
2009-04-21,2675.44,2697.72,2634.53,2713.3,2543.91,-0.04916200699698001
2009-04-22,2576.28,2713.3,2563.36,2609.87,2499.44,-0.029825950595432228
2009-04-23,2593.56,2604.16,2543.91,2609.87,2485.8,-0.04154906769074159
2009-04-24,2572.89,2609.87,2570.38,2615.81,2485.8,-0.03384909576390739
2009-04-27,2513.29,2576.52,2499.44,2640.02,2485.8,0.050423946301461436
2009-04-28,2518.53,2531.54,2485.8,2715.19,2514.14,0.07808523225849993
2009-04-29,2605.37,2615.81,2514.14,2751.25,2604.45,0.05599204719483226
2009-04-30,2622.93,2640.02,2604.45,2771.21,2632.3,0.05653219872432745
2009-05-04,2714.3,2715.19,2632.3,2797.47,2713.23,0.03064141767674893
2009-05-05,2727.01,2751.25,2713.23,2800.22,2713.54,0.02684625285569161
2009-05-06,2764.98,2771.21,2713.54,2839.61,2725.27,0.026991153643064366
2009-05-07,2767.08,2797.47,2731.8,2839.61,2699.95,0.026211746678809503
2009-05-08,2789.22,2800.22,2733.33,2839.61,2699.95,-0.03200536350664343
2009-05-11,2725.32,2839.61,2725.27,2822.71,2699.95,0.03573525310789187
2009-05-12,2788.56,2788.61,2699.95,2822.71,2757.55,0.012246464124853003
